Age,Data,Variable,Author
-7426,-6.29392083127164,grottadiernestoC13,scholzetal12C13_7sg_7sm
-7444.4,-6.82905411617104,grottadiernestoC13,scholzetal12C13_7sg_7sm
-7470.6,-6.88814438164805,grottadiernestoC13,scholzetal12C13_7sg_7sm
-7490.9,-6.60683874309392,grottadiernestoC13,scholzetal12C13_7sg_7sm
-1388.5,13.36,omanM5422,cullenetal00
-1471.4,13.27,omanM5422,cullenetal00
-1554.3,13.83,omanM5422,cullenetal00
-1637.1,13.45,omanM5422,cullenetal00
-1720,13.79,omanM5422,cullenetal00
-1802.9,13.71,omanM5422,cullenetal00
-1885.7,14.04,omanM5422,cullenetal00
-1968.6,14.04,omanM5422,cullenetal00
-2051.5,13.92,omanM5422,cullenetal00
-2134.3,13.82,omanM5422,cullenetal00
-2217.2,14.19,omanM5422,cullenetal00
-2300.1,14.69,omanM5422,cullenetal00
-2383,14.2,omanM5422,cullenetal00
-2465.8,14.9,omanM5422,cullenetal00
-2548.7,14.96,omanM5422,cullenetal00
-2631.6,15.31,omanM5422,cullenetal00
-2714.4,15.35,omanM5422,cullenetal00
-2797.3,16.42,omanM5422,cullenetal00
-2880.2,16.14,omanM5422,cullenetal00
-2963,16.31,omanM5422,cullenetal00
-3045.9,17.9,omanM5422,cullenetal00
-3128.8,18.76,omanM5422,cullenetal00
-3211.7,20.36,omanM5422,cullenetal00
-3294.5,20.99,omanM5422,cullenetal00
-3377.4,21.2,omanM5422,cullenetal00
-3460.3,21.78,omanM5422,cullenetal00
-3543.1,18.86,omanM5422,cullenetal00
-3626,19.57,omanM5422,cullenetal00
-3697.7,21.09,omanM5422,cullenetal00
-3769.3,22.2,omanM5422,cullenetal00
-3841,27.49,omanM5422,cullenetal00
-3905.3,25.15,omanM5422,cullenetal00
-3969.7,34.86,omanM5422,cullenetal00
-4034,38.81,omanM5422,cullenetal00
-4087.3,18.74,omanM5422,cullenetal00
-4140.7,19.72,omanM5422,cullenetal00
-4194,19.01,omanM5422,cullenetal00
-4407.7,21,omanM5422,cullenetal00
-4621.3,20.25,omanM5422,cullenetal00
-4835,20.67,omanM5422,cullenetal00
-5064.9,22.31,omanM5422,cullenetal00
-5294.8,22.29,omanM5422,cullenetal00
-5524.7,26.23,omanM5422,cullenetal00
-5754.5,26.21,omanM5422,cullenetal00
-5984.4,22.72,omanM5422,cullenetal00
-6214.3,21.69,omanM5422,cullenetal00
-6444.2,20.18,omanM5422,cullenetal00
-6674.1,20.87,omanM5422,cullenetal00
-6904,21.34,omanM5422,cullenetal00
-7133.8,21.61,omanM5422,cullenetal00
-7363.7,21.96,omanM5422,cullenetal00
-7593.6,22.84,omanM5422,cullenetal00
-7823.5,21.84,omanM5422,cullenetal00
-8053.4,20.71,omanM5422,cullenetal00
-8283.3,22.5,omanM5422,cullenetal00
-8513.1,23.47,omanM5422,cullenetal00
-8743,23.15,omanM5422,cullenetal00
-8972.9,23.13,omanM5422,cullenetal00
-9202.8,22.15,omanM5422,cullenetal00
-9432.7,22.3,omanM5422,cullenetal00
-9662.6,22.64,omanM5422,cullenetal00
-9892.4,22.44,omanM5422,cullenetal00
-10122.3,21.84,omanM5422,cullenetal00
-10352.2,22.44,omanM5422,cullenetal00
-10582.1,23.15,omanM5422,cullenetal00
-10812,22.98,omanM5422,cullenetal00
-11041.9,23.62,omanM5422,cullenetal00
-11271.8,23.59,omanM5422,cullenetal00
-11501.6,23.32,omanM5422,cullenetal00
-11731.5,25.5,omanM5422,cullenetal00
-11961.4,26.82,omanM5422,cullenetal00
-12191.3,28.98,omanM5422,cullenetal00
-12421.2,30.52,omanM5422,cullenetal00
-12651.1,36.54,omanM5422,cullenetal00
-12766,33.38,omanM5422,cullenetal00
-12880.9,33.12,omanM5422,cullenetal00
-13110.8,33.1,omanM5422,cullenetal00
-13340.7,32.42,omanM5422,cullenetal00
-13570.6,32.5,omanM5422,cullenetal00
-13800.5,31.91,omanM5422,cullenetal00
-14030.4,32.76,omanM5422,cullenetal00
-14260.2,31.89,omanM5422,cullenetal00
-14490.1,31.67,omanM5422,cullenetal00
-14720,30.34,omanM5422,cullenetal00
-14950,30.16,omanM5422,cullenetal00
-15179.8,31.05,omanM5422,cullenetal00
-15409.7,30.95,omanM5422,cullenetal00
-15639.6,31.44,omanM5422,cullenetal00
-15869.4,30.98,omanM5422,cullenetal00
-16099.3,30.69,omanM5422,cullenetal00
-16329.2,31.32,omanM5422,cullenetal00
-16559.1,30.96,omanM5422,cullenetal00
-16789,30.73,omanM5422,cullenetal00
-17018.9,31.06,omanM5422,cullenetal00
-17248.7,31.58,omanM5422,cullenetal00
-17478.6,31.2,omanM5422,cullenetal00
-17708.5,31.12,omanM5422,cullenetal00
-17938.4,31.61,omanM5422,cullenetal00
-18168.3,31.87,omanM5422,cullenetal00
-18398.2,32.85,omanM5422,cullenetal00
-18628,33.29,omanM5422,cullenetal00
-70,1.3459119497,aegeangeotusl148clay,ehrmannetal07
-180,0.8666666667,aegeangeotusl148clay,ehrmannetal07
-370,1.3636363636,aegeangeotusl148clay,ehrmannetal07
-550,1.1698630137,aegeangeotusl148clay,ehrmannetal07
-730,1.4298780488,aegeangeotusl148clay,ehrmannetal07
-920,1.0807799443,aegeangeotusl148clay,ehrmannetal07
-1100,0.5875576037,aegeangeotusl148clay,ehrmannetal07
-1280,0.7182795699,aegeangeotusl148clay,ehrmannetal07
-1470,0.8929503916,aegeangeotusl148clay,ehrmannetal07
-1570,0.8361045131,aegeangeotusl148clay,ehrmannetal07
-1680,0.9633507853,aegeangeotusl148clay,ehrmannetal07
-1790,1.0564516129,aegeangeotusl148clay,ehrmannetal07
-1980,1.14,aegeangeotusl148clay,ehrmannetal07
-2160,0.8597701149,aegeangeotusl148clay,ehrmannetal07
-2340,1.0435967302,aegeangeotusl148clay,ehrmannetal07
-2530,0.9515738499,aegeangeotusl148clay,ehrmannetal07
-2710,0.8502538071,aegeangeotusl148clay,ehrmannetal07
-2820,0.8199052133,aegeangeotusl148clay,ehrmannetal07
-2900,0.9136690647,aegeangeotusl148clay,ehrmannetal07
-3080,0.9696202532,aegeangeotusl148clay,ehrmannetal07
-3270,0.8905109489,aegeangeotusl148clay,ehrmannetal07
-3450,0.9526315789,aegeangeotusl148clay,ehrmannetal07
-3640,0.9179104478,aegeangeotusl148clay,ehrmannetal07
-3820,0.7916666667,aegeangeotusl148clay,ehrmannetal07
-4010,0.8848039216,aegeangeotusl148clay,ehrmannetal07
-4190,0.5862068966,aegeangeotusl148clay,ehrmannetal07
-4370,0.6726057906,aegeangeotusl148clay,ehrmannetal07
-4560,0.7281323877,aegeangeotusl148clay,ehrmannetal07
-4740,0.7334801762,aegeangeotusl148clay,ehrmannetal07
-4930,1.3228571429,aegeangeotusl148clay,ehrmannetal07
-5110,1.1639784946,aegeangeotusl148clay,ehrmannetal07
-5300,0.8694581281,aegeangeotusl148clay,ehrmannetal07
-5480,1.3219373219,aegeangeotusl148clay,ehrmannetal07
-5670,1.1694915254,aegeangeotusl148clay,ehrmannetal07
-5850,0.9331683168,aegeangeotusl148clay,ehrmannetal07
-6030,1.1290322581,aegeangeotusl148clay,ehrmannetal07
-6220,0.9377990431,aegeangeotusl148clay,ehrmannetal07
-6400,0.972361809,aegeangeotusl148clay,ehrmannetal07
-6610,0.895377129,aegeangeotusl148clay,ehrmannetal07
-6810,1.0054495913,aegeangeotusl148clay,ehrmannetal07
-7010,0.9088785047,aegeangeotusl148clay,ehrmannetal07
-7220,0.9113300493,aegeangeotusl148clay,ehrmannetal07
-7340,0.6869565217,aegeangeotusl148clay,ehrmannetal07
-7450,0.9232613909,aegeangeotusl148clay,ehrmannetal07
-7570,0.8377088305,aegeangeotusl148clay,ehrmannetal07
-7640,1.1528150134,aegeangeotusl148clay,ehrmannetal07
-7730,0.9189873418,aegeangeotusl148clay,ehrmannetal07
-7800,0.6247288503,aegeangeotusl148clay,ehrmannetal07
-7920,0.5894039735,aegeangeotusl148clay,ehrmannetal07
-8020,0.7057471264,aegeangeotusl148clay,ehrmannetal07
-8090,0.7959183673,aegeangeotusl148clay,ehrmannetal07
-3516.7052591743,-6.15028726405616,kocaincave,gokturk11_9sg_9sm
-3545.9509061595,-4.47254323428912,kocaincave,gokturk11_9sg_9sm
-3571.8852879594,-4.77582055530002,kocaincave,gokturk11_9sg_9sm
-3595.4727887727,-3.68694854486744,kocaincave,gokturk11_9sg_9sm
-3618.8666841813,-5.68277189414977,kocaincave,gokturk11_9sg_9sm
-3642.3022978129,-5.18820401782872,kocaincave,gokturk11_9sg_9sm
-3664.0125237096,-5.23703819373115,kocaincave,gokturk11_9sg_9sm
-3683.1268372116,-4.22067280606931,kocaincave,gokturk11_9sg_9sm
-3700.3264612351,-3.9902793637043,kocaincave,gokturk11_9sg_9sm
-3719.9569680258,-3.53800163349427,kocaincave,gokturk11_9sg_9sm
-3741.9914942723,-4.1950983179688,kocaincave,gokturk11_9sg_9sm
-3764.9031010839,-4.19730912836813,kocaincave,gokturk11_9sg_9sm
-3787.6627679059,-4.33505343732376,kocaincave,gokturk11_9sg_9sm
-3809.9825545697,-4.93901952576698,kocaincave,gokturk11_9sg_9sm
-3832.0401617776,-5.96782150966848,kocaincave,gokturk11_9sg_9sm
-3853.4896039005,-5.52721403377178,kocaincave,gokturk11_9sg_9sm
-3874.1042097479,-5.13559784488135,kocaincave,gokturk11_9sg_9sm
-3894.5293043203,-4.70524944152441,kocaincave,gokturk11_9sg_9sm
-3913.9027554096,-5.09291286022026,kocaincave,gokturk11_9sg_9sm
-3932.0954656768,-4.81165644018262,kocaincave,gokturk11_9sg_9sm
-3948.0302675336,-5.14201316412826,kocaincave,gokturk11_9sg_9sm
-3962.4900592076,-4.31438438677483,kocaincave,gokturk11_9sg_9sm
-3977.4813702785,-5.561772676825,kocaincave,gokturk11_9sg_9sm
-3994.4603889885,-4.64965872560163,kocaincave,gokturk11_9sg_9sm
-4012.9564201206,-5.74086822919438,kocaincave,gokturk11_9sg_9sm
-4032.29759893,-6.38566049689901,kocaincave,gokturk11_9sg_9sm
-4053.1253699822,-4.99980512028289,kocaincave,gokturk11_9sg_9sm
-4075.277655228,-4.35581955217636,kocaincave,gokturk11_9sg_9sm
-4097.857018482,-3.81009955940425,kocaincave,gokturk11_9sg_9sm
-4120.2584927361,-4.75071762191665,kocaincave,gokturk11_9sg_9sm
-4141.4496943848,-6.01086194257244,kocaincave,gokturk11_9sg_9sm
-4162.0552559118,-6.15521159109631,kocaincave,gokturk11_9sg_9sm
-4182.7724538611,-6.53831869942224,kocaincave,gokturk11_9sg_9sm
-4203.7539004817,-4.79581270522904,kocaincave,gokturk11_9sg_9sm
-4223.6531766805,-5.34089678666846,kocaincave,gokturk11_9sg_9sm
-4247.4953019767,-4.3242002328955,kocaincave,gokturk11_9sg_9sm
-4267.7512913737,-3.64524323329473,kocaincave,gokturk11_9sg_9sm
-4309.7552931896,-4.34013401341896,kocaincave,gokturk11_9sg_9sm
-4457.3903451232,-4.09395461080791,kocaincave,gokturk11_9sg_9sm
-4500.4594678267,-4.98957349323736,kocaincave,gokturk11_9sg_9sm
-4524.1274421625,-5.59781887159399,kocaincave,gokturk11_9sg_9sm
-4552.0951550838,-7.39121491667691,kocaincave,gokturk11_9sg_9sm
-4575.8357047377,-7.73491343775344,kocaincave,gokturk11_9sg_9sm
-4600.1976063481,-6.79518077377418,kocaincave,gokturk11_9sg_9sm
-4623.9812229205,-7.35039980333604,kocaincave,gokturk11_9sg_9sm
-4647.3405471686,-7.16584054519002,kocaincave,gokturk11_9sg_9sm
-4669.7235375696,-5.68003598326722,kocaincave,gokturk11_9sg_9sm
-4691.5423064354,-5.98529813872843,kocaincave,gokturk11_9sg_9sm
-4714.3638265095,-5.85537175235758,kocaincave,gokturk11_9sg_9sm
-4737.5545655546,-6.42424704833129,kocaincave,gokturk11_9sg_9sm
-4761.3455207455,-5.82561799456115,kocaincave,gokturk11_9sg_9sm
-4785.4868335623,-4.24901363242965,kocaincave,gokturk11_9sg_9sm
-4809.4909419985,-4.70121698761949,kocaincave,gokturk11_9sg_9sm
-4833.2583672887,-4.48879576534402,kocaincave,gokturk11_9sg_9sm
-4856.7626258665,-4.92944371812555,kocaincave,gokturk11_9sg_9sm
-4880.5307204193,-6.70673877238533,kocaincave,gokturk11_9sg_9sm
-4904.5283299772,-6.92792273517618,kocaincave,gokturk11_9sg_9sm
-4927.8062792057,-7.3208084145924,kocaincave,gokturk11_9sg_9sm
-4952.2201792167,-5.47347923985265,kocaincave,gokturk11_9sg_9sm
-4976.5200561531,-7.96670894026535,kocaincave,gokturk11_9sg_9sm
-5002.045271684,-6.99513833834548,kocaincave,gokturk11_9sg_9sm
-5027.0595931573,-5.93062312490956,kocaincave,gokturk11_9sg_9sm
-5052.5071875405,-4.89752114936712,kocaincave,gokturk11_9sg_9sm
-5078.7337878218,-4.91067041764879,kocaincave,gokturk11_9sg_9sm
-5104.5217746755,-4.2676886461463,kocaincave,gokturk11_9sg_9sm
-5130.3607849029,-5.00097419645898,kocaincave,gokturk11_9sg_9sm
-5156.9885716668,-3.9278161796371,kocaincave,gokturk11_9sg_9sm
-5183.6460054654,-5.52669800231726,kocaincave,gokturk11_9sg_9sm
-5210.3906219053,-4.86884773508021,kocaincave,gokturk11_9sg_9sm
-5238.2414937795,-6.11781360652597,kocaincave,gokturk11_9sg_9sm
-5264.6116608367,-4.96522993539118,kocaincave,gokturk11_9sg_9sm
-5290.5790527131,-4.5241855138877,kocaincave,gokturk11_9sg_9sm
-5317.4987657272,-5.47209919339778,kocaincave,gokturk11_9sg_9sm
-5341.9618016768,-6.4675369612829,kocaincave,gokturk11_9sg_9sm
-5376.6476770133,-5.66050337472113,kocaincave,gokturk11_9sg_9sm
-5417.7029160028,-4.92109775475384,kocaincave,gokturk11_9sg_9sm
-3946.8,-0.98,redseaGeoB58362,arzetal06
-3953.2,-1.03,redseaGeoB58362,arzetal06
-3959.5,-0.98,redseaGeoB58362,arzetal06
-3965.8,-1.25,redseaGeoB58362,arzetal06
-3972.1,-0.98,redseaGeoB58362,arzetal06
-3978.4,-1.16,redseaGeoB58362,arzetal06
-3984.7,-1.31,redseaGeoB58362,arzetal06
-3991.1,-1.24,redseaGeoB58362,arzetal06
-3997.4,-1.22,redseaGeoB58362,arzetal06
-4003.7,-1.15,redseaGeoB58362,arzetal06
-4010,-0.98,redseaGeoB58362,arzetal06
-4022.6,-0.95,redseaGeoB58362,arzetal06
-4029,-1.2,redseaGeoB58362,arzetal06
-4035.3,-1.49,redseaGeoB58362,arzetal06
-4041.6,-0.94,redseaGeoB58362,arzetal06
-4047.9,-0.08,redseaGeoB58362,arzetal06
-4054.2,-0.81,redseaGeoB58362,arzetal06
-4060.5,-0.45,redseaGeoB58362,arzetal06
-4066.9,-0.45,redseaGeoB58362,arzetal06
-4073.2,0.15,redseaGeoB58362,arzetal06
-4079.5,-0.42,redseaGeoB58362,arzetal06
-4085.8,-0.18,redseaGeoB58362,arzetal06
-4092.1,-0.52,redseaGeoB58362,arzetal06
-4098.5,-0.1,redseaGeoB58362,arzetal06
-4104.8,-0.07,redseaGeoB58362,arzetal06
-4111.1,-0.24,redseaGeoB58362,arzetal06
-4117.4,0.6,redseaGeoB58362,arzetal06
-4123.7,0.48,redseaGeoB58362,arzetal06
-4130,-0.78,redseaGeoB58362,arzetal06
